title,company,location,link
Développeur(euse) python - h/f,WALLIX,Paris (75),https://www.indeed.fr/voir-emploi?jk=144868c416611397
H/F : Data Manager,CNRS,Paris 5e (75),https://www.indeed.fr/voir-emploi?jk=b7adb13764bf898f
"PhD Student, CIFRE",Facebook,Paris (75),https://www.indeed.fr/voir-emploi?jk=844db11174ddbf74
"Machine Learning Engineer, EMEA M/F",Ubisoft,Paris (75),https://www.indeed.fr/voir-emploi?jk=91e36a1b958397db
ACTUAIRE INVENTAIRE H/F,Crédit Agricole Assurances,Paris (75),https://www.indeed.fr/voir-emploi?jk=8635c185af1bdcf5
Développeur Python | Solution big data dans le secteur de la foodtech,In-Team,Paris,https://www.indeed.fr/voir-emploi?jk=f6b5a6edccd679d8
DÉVELOPPEUR PYTHON JUNIOR (H/F),Urban Linker,Paris (75),https://www.indeed.fr/voir-emploi?jk=5f7213e712dff078
Stage Développeur Python (h/f),Sewan,Paris 10e (75),https://www.indeed.fr/voir-emploi?jk=1a2b5f178efa3760
Développeur Python - H/F,KONEKT,Paris (75),https://www.indeed.fr/voir-emploi?jk=453edce086d1eea9
ANALYSTE QUANTITATIF (H/F),CIC,Paris (75),https://www.indeed.fr/voir-emploi?jk=2cf0a107fb275420
DÉVELOPPEUR PYTHON/DJANGO F/H,AddixWare,Paris (75),https://www.indeed.fr/voir-emploi?jk=e5c39fb1f57d5c42
Operations Analyst,Lydia App,Paris (75),https://www.indeed.fr/voir-emploi?jk=59bbe0f10157db07
Commando IT en finance H/F,CAPFI,Paris (75),https://www.indeed.fr/voir-emploi?jk=dacaf866746c48c3
"Research Intern, 2020",Google,Paris (75),https://www.indeed.fr/voir-emploi?jk=cc7813613b6a2b3d
Développeur Python (H/F),Acensi,Paris (75),https://www.indeed.fr/voir-emploi?jk=f2a0b9b22e343bc5
"Développeur Python | Sport, Culture & Data science",In-Team,Paris,https://www.indeed.fr/voir-emploi?jk=8c4b6bc4de5797cd
Head of IT Credit Intelligence Domain,Euler Hermes Group,Paris (75),https://www.indeed.fr/voir-emploi?jk=a3f1ba4e45e4359f
développeur PYTHON / Freelance,PRIUM PARTNERS,Paris (75),https://www.indeed.fr/voir-emploi?jk=2698b15b437bd625
Développeur Python | Au coeur de Paris | Start-up innovante,In-Team,Paris (75),https://www.indeed.fr/voir-emploi?jk=4d07c37332fee2bd
Data Scientist – Pharma International Data and Analytics Chapter,Roche,Boulogne-Billancourt (92),https://www.indeed.fr/voir-emploi?jk=f052e1cda1475a58
Développeur Python H/F,Groupama Supports et Services,Puteaux (92),https://www.indeed.fr/voir-emploi?jk=877916c8ad01df2b
"Platform Publisher, Media Services – France and Western Markets",Apple,Paris (75),https://www.indeed.fr/voir-emploi?jk=4b846ff7a5c16bb0
STAGE DEVOPPEUR BACKEND PYTHON (H/F),Invenis,Paris (75),https://www.indeed.fr/voir-emploi?jk=e696a0c5a7a31a8a
ANALYST GLOBAL MARKET DATA AND ARTIFICIAL INTELLIGENCE LAB - GRADUATE PROGRAM H/F,BNP Paribas,Paris (75),https://www.indeed.fr/voir-emploi?jk=fef572c18a5ee3a2
Développeur Back-end senior (Python/Django) H/F CDI,Nicholson SAS,Paris (75),https://www.indeed.fr/voir-emploi?jk=8abf2b735f286c58
Developpeur Python au sein de la Feature Team Airflow-(H/F),Société Générale,La Défense (92),https://www.indeed.fr/voir-emploi?jk=765f2c2b8df99c0b
"Stage Analyste Quantitatif, Paris Av. des Champs-Elysées (H/F)",HSBC,Paris (75),https://www.indeed.fr/voir-emploi?jk=ee9dbb42ee128922
DEEP LEARNING ENGINEER,EyePick,Paris (75),https://www.indeed.fr/voir-emploi?jk=088eebab1fd2facc
DÉVELOPPEUR PYTHON DJANGO H/F,AddixWare,Paris (75),https://www.indeed.fr/voir-emploi?jk=72f74f9b2aa6e964
Développeur·se Python,Toucan Toco,Paris (75),https://www.indeed.fr/voir-emploi?jk=4f7fb84dab2c2c9f
Gérant de portefeuille quantitatif-(H/F),Lyxor,Paris (75),https://www.indeed.fr/voir-emploi?jk=d91a3e75b87e01d7
Actuaire Reserving,SCOR,Paris (75),https://www.indeed.fr/voir-emploi?jk=1174e7b0990e2616
Alternance - Datascientist (H/F),ENGIE IT,Saint-Ouen (93),https://www.indeed.fr/voir-emploi?jk=35ed08fc8c78369c
Developper Python / Freelance,QUANTIC,Paris (75),https://www.indeed.fr/voir-emploi?jk=ee59b9bc91a8c2a3
Stage - Data Scientist H/F,BPCE SA,Paris (75),https://www.indeed.fr/voir-emploi?jk=1518129ac84d2c17
Développeur Back End Python/Django | Transport & numérique,In-Team,Paris,https://www.indeed.fr/voir-emploi?jk=a4427e08c4ab0859
ALTERNANT DATA SCIENTIST H/F,BNP Paribas,Issy-les-Moulineaux (92),https://www.indeed.fr/voir-emploi?jk=7a2e790775541b32
Analyste marché obligataire H/F,AMF,Paris (75),https://www.indeed.fr/voir-emploi?jk=7ac720047a55caee
BACK-END SENIOR - PYTHON DÉVELOPPEUSE/DÉVELOPPEUR,Dropcontact,Paris (75),https://www.indeed.fr/voir-emploi?jk=895636d8c627bc35
"Data Scientist, Analytics",Doctolib,Paris (75),https://www.indeed.fr/voir-emploi?jk=823133b95c534f41
Développeur Python – Optimisation énergétique / IA & data science,In-Team,Paris,https://www.indeed.fr/voir-emploi?jk=43fbe52e91cc7488
Développeur Python/Django F/H,LAFINEKIP,Paris 1er (75),https://www.indeed.fr/voir-emploi?jk=a866ab3e04264135
APPRENTI CHARGE DE PROJETS - H/F,Otis Job France,La Défense (92),https://www.indeed.fr/voir-emploi?jk=2d787f73f005ec23
Python Developer,Client Server,Paris (75),https://www.indeed.fr/voir-emploi?jk=8eb6deab3c2cc3a4
Analyste IPV Observabilité (H/F),NATIXIS,Paris (75),https://www.indeed.fr/voir-emploi?jk=87187b389cce45e0
Middle Officer / Business Controller,BU Global Energy Management,Courbevoie (92),https://www.indeed.fr/voir-emploi?jk=e13a3c1f058fca7f
Développeur(se) python,Lab5com,Boulogne-Billancourt (92),https://www.indeed.fr/voir-emploi?jk=6dcd30c1643c4c6f
Data analyst - Retail/Tech,ARMIS,Paris (75),https://www.indeed.fr/voir-emploi?jk=bfed2e34e293094b
"Student Training in Engineering Program, STEP 2020",Google,Paris (75),https://www.indeed.fr/voir-emploi?jk=dcabade126b489d2
Développeur Python/Django | Solution SaaS secteur de l’énergie – #IoT,In-Team,Paris,https://www.indeed.fr/voir-emploi?jk=b42d7bb8309e1c0f
Actuaire Produit IARD H/F,PACIFICA Paris,Paris (75),https://www.indeed.fr/voir-emploi?jk=4419deb914b6b2e5
Data Scientist (H/F),Quantic Dream,Paris (75),https://www.indeed.fr/voir-emploi?jk=5c6b1720f6841e38
STAGIAIRE DEV FULLSTACK,Kinetix.tech,Paris (75),https://www.indeed.fr/voir-emploi?jk=ff4999bda217fc2e
Fullstack Hero,Salesapps,Paris (75),https://www.indeed.fr/voir-emploi?jk=74b45df83fe4386d
LEAD DÉVELOPPEUR PYTHON,Cherry Pick,Paris (75),https://www.indeed.fr/voir-emploi?jk=d214f59282379b35
Head of Data - Retail/Tech,ARMIS,Paris (75),https://www.indeed.fr/voir-emploi?jk=7faa03f4306e78a3
Back-End Developer (Python),Korner,Paris (75),https://www.indeed.fr/voir-emploi?jk=da9e2803825dd9a7
Développeur Python – Digitalisation du lieu de travail,In-Team,Paris,https://www.indeed.fr/voir-emploi?jk=bb4fe1692afa269f
Ingénieur Etude GNC lanceurs H/F,CS Group,Le Plessis-Robinson (92),https://www.indeed.fr/voir-emploi?jk=9d6c173e8d7dbffc
Alternance - Data Scientist-(H/F),Boursorama,Boulogne-Billancourt (92),https://www.indeed.fr/voir-emploi?jk=cd480dae0ba87b97
QA Engineer,Partoo,Paris (75),https://www.indeed.fr/voir-emploi?jk=e52f1e79a529de5d
La DSI de Bouygues Telecom recrute ! H/F,Bouygues Telecom,Meudon (92),https://www.indeed.fr/voir-emploi?jk=8fc8ae58245c9d22
Inspecteur auditeur H/F,CA CIB FRANCE,Montrouge (92),https://www.indeed.fr/voir-emploi?jk=77f7242b5c11f6f3
Alternant(e) Data Analyst People Analytics & Data(H/F),TechnipFMC,Paris (75),https://www.indeed.fr/voir-emploi?jk=9d519baac22356b1
Développeur Python H/F,BK Consulting,Paris (75),https://www.indeed.fr/voir-emploi?jk=08b929d8c8b37355
Python Developer (Refactoring),Gatewatcher,Paris 8e (75),https://www.indeed.fr/voir-emploi?jk=52f5ec402b73d7a8
ALTERNANCE - Actuaire H/F,Credit Agricole Assurances,Paris (75),https://www.indeed.fr/voir-emploi?jk=55da532587a283e0
Développeur Full-stack Python/Android F/H,work for change,Paris 1er (75),https://www.indeed.fr/voir-emploi?jk=1eaeb03b623a90f6
"Alternance Trader Commando Equity Junior, Paris Av. des Champs-Elysees (H/F)",HSBC,Paris (75),https://www.indeed.fr/voir-emploi?jk=1f460ab6f7b4bd41
DÉVELOPPEUR BACK-END SENIOR-PYTHON (H/F),Cherry Pick,Paris (75),https://www.indeed.fr/voir-emploi?jk=df3c4c5e918ac9b8
Développeur C++/Python,Protectic,Bièvres (91),https://www.indeed.fr/voir-emploi?jk=568852e179c7093b
Développeur Python F/H,CAPFI,Paris 8e (75),https://www.indeed.fr/voir-emploi?jk=b6f7877093b0e71d
Commercial Risk Manager H/F,American Express,Paris (75),https://www.indeed.fr/voir-emploi?jk=dc084e4f87677f03
Data Engineer,Pretto,Paris (75),https://www.indeed.fr/voir-emploi?jk=fda2693428b30613
Concepteur Développeur Expérimenté En Python/java/ C++- H/f,RTE - Réseau de Transport d'Electricité,Nanterre (92),https://www.indeed.fr/voir-emploi?jk=e250ee38f8c000c7
Data Scientist – Machine Learning – Artificial Intelligence,One2Team,Paris (75),https://www.indeed.fr/voir-emploi?jk=b9cebaf68e72e660
Stagiaire Codeur Python,Angie,Paris (75),https://www.indeed.fr/voir-emploi?jk=39487d94417ae4a2
Field Software Engineer,Canonical,Paris (75),https://www.indeed.fr/voir-emploi?jk=d3c85e17204a8df3
Data Analyst (H/F)(),Webedia,Levallois-Perret (92),https://www.indeed.fr/voir-emploi?jk=ac5de29bdd7dcdaf
Data scientist F/H,ACTIRONE,Paris 13e (75),https://www.indeed.fr/voir-emploi?jk=e94b50bef1cfd316
Analyste Risque de Contrepartie-(H/F),Société Générale,La Défense (92),https://www.indeed.fr/voir-emploi?jk=0d79b8cc2aa602b1
Développeur Python / Data science | Secteur de l’énergie,In-Team,Paris,https://www.indeed.fr/voir-emploi?jk=90b4092563e14383
Data Scientist H/F,Carrefour,Paris 13e (75),https://www.indeed.fr/voir-emploi?jk=a05e6e5064cf22e8
Développeur Fullstack - Python / Angular (H/F),Devoteam,Levallois-Perret (92),https://www.indeed.fr/voir-emploi?jk=9b0cf5952f919895
"Research Intern, 2020",Google,Paris (75),https://www.indeed.fr/voir-emploi?jk=cc7813613b6a2b3d
BIOINFORMATICIEN (H/F),Enterome,Paris (75),https://www.indeed.fr/voir-emploi?jk=5170f48790a8d765
développeur R et Python / Freelance,WorldWide People,Paris (75),https://www.indeed.fr/voir-emploi?jk=9bf087c0ef448b74
iCloud Drive - Data Analytics Engineer,Apple,Paris (75),https://www.indeed.fr/voir-emploi?jk=50254d375f80fe9f
Ingénieur Cybersécurité (F/H) - Alternance,Nexity,Paris 9e (75),https://www.indeed.fr/voir-emploi?jk=470e0c9dd56182ef
APPRENTI CHARGE DE PROJETS - H/F,Otis Job France,La Défense (92),https://www.indeed.fr/voir-emploi?jk=2d787f73f005ec23
"Développeur micro-services Full Stack Senior Rust, C, Python, Elixir / Freelance",Axande,Paris (75),https://www.indeed.fr/voir-emploi?jk=cca976ebbcd20d7d
Développeur CLOUD /AWS / PYTHON / Freelance,UMANIS,Paris (75),https://www.indeed.fr/voir-emploi?jk=439c58c14f0b7466
Stage - Data Scientist H/F,BPCE SA,Paris (75),https://www.indeed.fr/voir-emploi?jk=1518129ac84d2c17
Ingénieur Support L2 F/H,Orange,La Défense (92),https://www.indeed.fr/voir-emploi?jk=e4e2671101202ddc
Analyste Risque de Contrepartie-(H/F),Société Générale,La Défense (92),https://www.indeed.fr/voir-emploi?jk=0d79b8cc2aa602b1
Développeur Python AWS / Freelance,Kaïbee,Paris (75),https://www.indeed.fr/voir-emploi?jk=cedb2a616cfa0909
Ingénieur Data - Machine Learning H/F,Carrefour,Paris 13e (75),https://www.indeed.fr/voir-emploi?jk=97a13f47d839b510
Développeur C++/Python,Protectic,Bièvres (91),https://www.indeed.fr/voir-emploi?jk=568852e179c7093b
ALTERNANT DATA SCIENTIST H/F,BNP Paribas,Issy-les-Moulineaux (92),https://www.indeed.fr/voir-emploi?jk=7a2e790775541b32
Développeur Python / Data science | Objets connectés (IoT) – E Santé,In-Team,Paris,https://www.indeed.fr/voir-emploi?jk=feaa1748e13407ab
Ingénieur développement code de calcul et algorithmie,ASTEK,Paris (75),https://www.indeed.fr/voir-emploi?jk=71d31dfa64741f11
Head of Data - Retail/Tech,ARMIS,Paris (75),https://www.indeed.fr/voir-emploi?jk=7faa03f4306e78a3
Gérant de portefeuille quantitatif-(H/F),Lyxor,Paris (75),https://www.indeed.fr/voir-emploi?jk=d91a3e75b87e01d7
Développeur Frond END H/F,Institut Curie,Paris (75),https://www.indeed.fr/voir-emploi?jk=acf57c43cb097806
Consultant DataScientist F/H,Viseo,Boulogne-Billancourt (92),https://www.indeed.fr/voir-emploi?jk=979e134a119968cd
ARTIFICIAL INTELLIGENCE RESEARCHER,Protera,Paris (75),https://www.indeed.fr/voir-emploi?jk=c3e144fd77259612
Equity Market Data analyst (H/F),NATIXIS,Paris (75),https://www.indeed.fr/voir-emploi?jk=ce96bb2dd54ab0ef
Developpeur Python/Django (H/F),OPEN,Levallois-Perret (92),https://www.indeed.fr/voir-emploi?jk=64651ffc0b8e2d3c
DEVELOPPEUR C/C++ - DEVELOPPEMENT D'UN DEMONSTRATEUR OPEN SOURCE DE PASSERELLE DE TELECONDUITE MULTI PROTOCOLES,RTE,La Défense (92),https://www.indeed.fr/voir-emploi?jk=b19d24744c2b7ae4
développeur Python / Freelance,FREELANCE VISION,Charenton-le-Pont (94),https://www.indeed.fr/voir-emploi?jk=dd8eb9a4853db107
"Stage Analyste Quantitatif, Paris Av. des Champs-Elysées (H/F)",HSBC,Paris (75),https://www.indeed.fr/voir-emploi?jk=ee9dbb42ee128922
DATA ANALYST DBnomics - H/F,La Banque de France,Paris (75),https://www.indeed.fr/voir-emploi?jk=741ffff3a4d1206b
Développeur Backend Python/C++ (expertise forte en CI/CD) / Freelance,TREPIA,Boulogne-Billancourt (92),https://www.indeed.fr/voir-emploi?jk=f9ed8d25d61a2ee8
H/F : Data Manager,CNRS,Paris 5e (75),https://www.indeed.fr/voir-emploi?jk=b7adb13764bf898f
Chargé de suivi des risques de contreparties sur Hedge Funds-(H/F),Société Générale,La Défense (92),https://www.indeed.fr/voir-emploi?jk=d9a406660c88088a
Quant Trader (h/f),Abc Arbitrage,Paris 2e (75),https://www.indeed.fr/voir-emploi?jk=aea6fd49e90b62b3
Field Software Engineer,Canonical,Paris (75),https://www.indeed.fr/voir-emploi?jk=d3c85e17204a8df3
Ingénieur Etude GNC lanceurs H/F,CS Group,Le Plessis-Robinson (92),https://www.indeed.fr/voir-emploi?jk=9d6c173e8d7dbffc
SOFTWARE ENGINEER INTERNSHIP,Koyeb,Paris (75),https://www.indeed.fr/voir-emploi?jk=35120c9410dc9806
CONSULTANT MICRO SERVICES/PYTHON/RUST/ELIXIR / Freelance,OCSI,Paris (75),https://www.indeed.fr/voir-emploi?jk=c308aa30c2201d11
Assistant Recherche Économique-(H/F),Société Générale,La Défense (92),https://www.indeed.fr/voir-emploi?jk=f0d21e16a2c7aa40
Python Backend Developer,JOHN PAUL,Paris (75),https://www.indeed.fr/voir-emploi?jk=850bbfc4ab56c158
Software Engineer Python / Full Stack,Toucan Toco,Paris (75),https://www.indeed.fr/voir-emploi?jk=ac73bdec5a33715c
Ingénieur de développement moyens d'essais IV&V (h/f),Airbus,Paris (75),https://www.indeed.fr/voir-emploi?jk=714a006ed6ee08a9
Développeur Python H/F,GFI,Paris (75),https://www.indeed.fr/voir-emploi?jk=277c955765b9de1c
Engineering Team Leader,Getpro,Paris (75),https://www.indeed.fr/voir-emploi?jk=e3483329b1e813f0
Développeur Back-end senior (Python/Django) H/F CDI,Nicholson SAS,Paris (75),https://www.indeed.fr/voir-emploi?jk=8abf2b735f286c58
Data Engineer Python SQL - F/H,Verduron,Paris 8e (75),https://www.indeed.fr/voir-emploi?jk=66a0259cb158fde6
La DSI de Bouygues Telecom recrute ! H/F,Bouygues Telecom,Meudon (92),https://www.indeed.fr/voir-emploi?jk=8fc8ae58245c9d22
Ingénieur devOps débutant F/H,Easyence,Paris 2e (75),https://www.indeed.fr/voir-emploi?jk=777912627ddcc0e2
Apprenticeships - Software Development Engineer in our Site Reliability Department,Criteo,Paris (75),https://www.indeed.fr/voir-emploi?jk=8a52066b4ad0552b
DEVELOPPEURS C++ / PYTHON,informatis-ts,Ivry-sur-Seine (94),https://www.indeed.fr/voir-emploi?jk=50b6e24766581758
Data Scientist Internship,ChefClub Network,Paris (75),https://www.indeed.fr/voir-emploi?jk=d0ad6adb8d24adee
Ingénieur traitement du signal biomédical,BioSerenity,Paris 13e (75),https://www.indeed.fr/voir-emploi?jk=04550a603b46bb23
Ingénieur Cybersécurité (F/H) - Alternance,Nexity,Paris 9e (75),https://www.indeed.fr/voir-emploi?jk=470e0c9dd56182ef
Thèse CIFRE - Recherche et modélisation de lois de probabilité de distribution de trafic (h/f),Airbus,Paris (75),https://www.indeed.fr/voir-emploi?jk=4d6022bc305b73ea
Développeur Python/Java – Data science – Optimisation énergétique & IA,In-Team,Paris,https://www.indeed.fr/voir-emploi?jk=0a1d62e537d9f21c
CONSULTANT MICRO SERVICES/PYTHON/RUST/ELIXIR / Freelance,OCSI,Paris (75),https://www.indeed.fr/voir-emploi?jk=c308aa30c2201d11
Data Scientist / Freelance,INTITEK FOR PEOPLE,Paris (75),https://www.indeed.fr/voir-emploi?jk=3ed9f672859e8fe9
Chercheur en sciences appliquées – Apprentissage Automatique H / F,Konekt,Paris (75),https://www.indeed.fr/voir-emploi?jk=3c50fc7a50863666
ingénieur-e en ingénierie logicielle (H/F),CNRS,Paris 5e (75),https://www.indeed.fr/voir-emploi?jk=99af6a742088e4d0
Assistant Recherche Économique-(H/F),Société Générale,La Défense (92),https://www.indeed.fr/voir-emploi?jk=f0d21e16a2c7aa40
Alternance - Ingénieur Financier / Trésorier de Banque H/F,SOCFIM,Paris (75),https://www.indeed.fr/voir-emploi?jk=dd2bc5f0128adcaa
Développeur Python H/F,GFI,Paris (75),https://www.indeed.fr/voir-emploi?jk=277c955765b9de1c
Software Engineer Python / Full Stack,Toucan Toco,Paris (75),https://www.indeed.fr/voir-emploi?jk=ac73bdec5a33715c
Développeur backend Python/Django (H/F),Telio,Villepinte (93),https://www.indeed.fr/voir-emploi?jk=62742888f0f23989
Développeur Python | Secteur de l’énergie & big data,In-Team,Paris,https://www.indeed.fr/voir-emploi?jk=3a9afb00e9fc36c2
Solutions Architect,Databricks,Paris (75),https://www.indeed.fr/voir-emploi?jk=9423b1f10cbede60
Data Scientist F/H,MINISTERE DE LA JUSTICE,Paris 19e (75),https://www.indeed.fr/voir-emploi?jk=d7bff641a32ab480
Alternance - DevOps junior (H/F),Group Operations,Paris (75),https://www.indeed.fr/voir-emploi?jk=e4d32e8a4b5ee064
Alternance - 1 an - Data Scientist- Graphes de connaissances appliqués au NLP F/H - Paris,BPCE SA,Paris (75),https://www.indeed.fr/voir-emploi?jk=8979e2b30fb3b88a
DATA ANALYST DBnomics - H/F,La Banque de France,Paris (75),https://www.indeed.fr/voir-emploi?jk=741ffff3a4d1206b
Alternant - Energy Manager,ENGIE > Entreprises et Collectivités,Saint-Ouen (93),https://www.indeed.fr/voir-emploi?jk=78a7703a2678e21d
Commando Python F/H,BMARKETS,Paris 17e (75),https://www.indeed.fr/voir-emploi?jk=5c968099fc4f8d67
Python developer - Data extraction (stage / job étudiant),Innoscape,Paris (75),https://www.indeed.fr/voir-emploi?jk=4410240d2b2ef209
Python Developer,PeopleDoc Germany GmbH,Paris (75),https://www.indeed.fr/voir-emploi?jk=88161dbc32943b4e
Data Analyst - Green Panda Games (F/M),Ubisoft,Montreuil (93),https://www.indeed.fr/voir-emploi?jk=a79b664cd77e1314
Data Engineer Python SQL - F/H,Verduron,Paris 8e (75),https://www.indeed.fr/voir-emploi?jk=66a0259cb158fde6
Equity Market Data analyst (H/F),NATIXIS,Paris (75),https://www.indeed.fr/voir-emploi?jk=ce96bb2dd54ab0ef
Contrat doctoral : Recherche de planètes extrasolaires en imagerie directe (H/F),CNRS,Meudon (92),https://www.indeed.fr/voir-emploi?jk=fee15001c99d3f29
Ingénieur devOps débutant F/H,Easyence,Paris 2e (75),https://www.indeed.fr/voir-emploi?jk=777912627ddcc0e2
ANALYSTE QUANTITATIF H/F,BNP Paribas,Paris (75),https://www.indeed.fr/voir-emploi?jk=b114aba3f257b9bd
Développeur Backend Python/C++ (expertise forte en CI/CD) / Freelance,TREPIA,Boulogne-Billancourt (92),https://www.indeed.fr/voir-emploi?jk=f9ed8d25d61a2ee8
Ingénieur Data - Machine Learning H/F,Carrefour,Paris 13e (75),https://www.indeed.fr/voir-emploi?jk=97a13f47d839b510
Développeur Python-H/F,Kaibee,Gentilly (94),https://www.indeed.fr/voir-emploi?jk=5490e7a7b5afe8be
Developpeur PYTHON H/F - la défense (92) H/F,Econocom,Paris (75),https://www.indeed.fr/voir-emploi?jk=caed88e4251b4cbf
SPÉCIALISTE EN VALORISATION DE PRODUITS FINANCIERS STRUCTURÉS 1001PROJETS - H/F,La Banque de France,Paris (75),https://www.indeed.fr/voir-emploi?jk=ab70dfe9c76e15df
Opérateur données F/H,Health Data Hub,Paris 15e (75),https://www.indeed.fr/voir-emploi?jk=466e8859e9e1c5d2
Python Backend / Automation Engineer,Data Theorem,Paris (75),https://www.indeed.fr/voir-emploi?jk=b422fc25e0add19e
ANALYSTE QUANTITATIF DES RISQUES DE MARCHÉ 1001PROJETS - H/F,La Banque de France,Paris (75),https://www.indeed.fr/voir-emploi?jk=59d2e26b068be59b
Consultant Odoo,Julius Network Solutions,Paris 20e (75),https://www.indeed.fr/voir-emploi?jk=1ddf391835122a4e
ALTERNANCE - Data Scientist H/F,Credit Agricole Assurances,Paris (75),https://www.indeed.fr/voir-emploi?jk=5df816f2385ecb4e
Associate Software Engineer,RingCentral,Paris (75),https://www.indeed.fr/voir-emploi?jk=39d9d5cf2480cae7
Python Engineer - France Team,Arch Systems Inc,Paris (75),https://www.indeed.fr/voir-emploi?jk=b6042b3777ae32fa
Développeur(se) backend Python / Java 8 – LA marketplace référente en France,Konekt,Paris 10e (75),https://www.indeed.fr/voir-emploi?jk=bd02a40220027dc5
iCloud Drive - Bug Triage Engineer and Analyst,Apple,Paris (75),https://www.indeed.fr/voir-emploi?jk=0e08b5800cf52241
Stage - Interprétabilité des modèles et application sur la lutte contre la Fraude H/F - Paris,BPCE SA,Paris (75),https://www.indeed.fr/voir-emploi?jk=3139cb78d6beee07
SOFTWARE ENGINEER INTERNSHIP,Koyeb,Paris (75),https://www.indeed.fr/voir-emploi?jk=35120c9410dc9806
Ingénieur de Production (H/F),Ozitem,Paris (75),https://www.indeed.fr/voir-emploi?jk=e51cfeb59aa198ff
"Développeur Front End 2 a 5 ans d’experience. HTML CSS Javascript, Angular JS, ReactJS, Python, Jav / Freelance",WorldWide People,Aubervilliers (93),https://www.indeed.fr/voir-emploi?jk=15477faca4b031ce
Développeur Python API - F/H,Verduron,Paris 13e (75),https://www.indeed.fr/voir-emploi?jk=4a23f22220373e1e
Consultant Python #DevOps #Django #Flask H/F,Devoteam,Levallois-Perret (92),https://www.indeed.fr/voir-emploi?jk=b661a26b3564003f
DATA SCIENTIST / STATISTICIEN 1001PROJETS - H/F,La Banque de France,Paris (75),https://www.indeed.fr/voir-emploi?jk=026e0b6d1b8dae67
"CRM Data Operations Specialist, EMEA H/F",Ubisoft,Paris (75),https://www.indeed.fr/voir-emploi?jk=1506429588b8f2bf
Data Scientist / Freelance,INTITEK FOR PEOPLE,Paris (75),https://www.indeed.fr/voir-emploi?jk=3ed9f672859e8fe9
Développeur Full-stack Python/Android F/H,work for change,Paris 1er (75),https://www.indeed.fr/voir-emploi?jk=1eaeb03b623a90f6
SPÉCIALISTE EN VALORISATION DE PRODUITS FINANCIERS STRUCTURÉS 1001PROJETS - H/F,La Banque de France,Paris (75),https://www.indeed.fr/voir-emploi?jk=ab70dfe9c76e15df
MACHINE LEARNING RESEARCHER ASSOCIATE,Curacel,Paris (75),https://www.indeed.fr/voir-emploi?jk=3c590dcf8d98197b
Data Scientist Analyst M/F,Danone,Paris (75),https://www.indeed.fr/voir-emploi?jk=b79ad0702722fbd0
Alternance- 1 an Développeur web (H/F) Paris,Groupe BPCE,Paris (75),https://www.indeed.fr/voir-emploi?jk=bca4998f12a497bf
DATA SCIENTIST,Homeys,Paris (75),https://www.indeed.fr/voir-emploi?jk=e804caaadbdb5824
Data Science Internship Program,Institut des Systèmes Complexes de Paris Île-de-Fr...,Paris (75),https://www.indeed.fr/voir-emploi?jk=13c7762c98229607
Développeur Ruby on Rails H/F,Bloomays,Paris (75),https://www.indeed.fr/voir-emploi?jk=1096a540a797b336
Stagiaire Data Scientist,Fretbay,Paris (75),https://www.indeed.fr/voir-emploi?jk=2ea4feadb4a6bff0
Automaticien junior,Aldemia,Levallois-Perret (92),https://www.indeed.fr/voir-emploi?jk=fb4f6785a26863b1
